File_ID,System_ID,cell_id,file_name,extension,folder,file_size_MB,file_path
44,18.0,25.0,test_15_cell25_C20Form_23-02-24_Channel_15_Wb_1.CSV,csv,test_15_cell25_C20Form_23-02-24_2023_02_24_143703,31.03,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_15_cell25_C20Form_23-02-24_2023_02_24_143703/test_15_cell25_C20Form_23-02-24_Channel_15_Wb_1.CSV
45,35.0,50.0,test_16_cell50_C20Form_23-02-24_Channel_16_Wb_1.CSV,csv,test_16_cell50_C20Form_23-02-24_2023_02_24_143718,19.77,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_16_cell50_C20Form_23-02-24_2023_02_24_143718/test_16_cell50_C20Form_23-02-24_Channel_16_Wb_1.CSV
46,29.0,38.0,test_1_cell38_C20Form_23-02-22_Channel_1_Wb_1.CSV,csv,test_1_cell38_C20Form_23-02-22_2023_02_22_161406,27.61,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_1_cell38_C20Form_23-02-22_2023_02_22_161406/test_1_cell38_C20Form_23-02-22_Channel_1_Wb_1.CSV
47,20.0,27.0,test_23_cell27_C20FOrm_23-02-22_Channel_23_Wb_1.CSV,csv,test_23_cell27_C20FOrm_23-02-22_2023_02_22_095431,23.53,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_23_cell27_C20FOrm_23-02-22_2023_02_22_095431/test_23_cell27_C20FOrm_23-02-22_Channel_23_Wb_1.CSV
48,15.0,22.0,test_25_cell22_C20FOrm_23-02-22_Channel_25_Wb_1.CSV,csv,test_25_cell22_C20FOrm_23-02-22_2023_02_22_095519,37.11,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_25_cell22_C20FOrm_23-02-22_2023_02_22_095519/test_25_cell22_C20FOrm_23-02-22_Channel_25_Wb_1.CSV
49,12.0,18.0,test_26_cell18_C20FOrm_23-02-22_Channel_26_Wb_1.CSV,csv,test_26_cell18_C20FOrm_23-02-22_2023_02_22_095541,17.53,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_26_cell18_C20FOrm_23-02-22_2023_02_22_095541/test_26_cell18_C20FOrm_23-02-22_Channel_26_Wb_1.CSV
50,1.0,1.0,test_28_cell1_C20FOrm_23-02-22_Channel_28_Wb_1.CSV,csv,test_28_cell1_C20FOrm_23-02-22_2023_02_22_095609,77.87,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_28_cell1_C20FOrm_23-02-22_2023_02_22_095609/test_28_cell1_C20FOrm_23-02-22_Channel_28_Wb_1.CSV
51,14.0,21.0,test_29_cell21_C20FOrm_23-02-22_Channel_29_Wb_1.CSV,csv,test_29_cell21_C20FOrm_23-02-22_2023_02_22_095625,19.84,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_29_cell21_C20FOrm_23-02-22_2023_02_22_095625/test_29_cell21_C20FOrm_23-02-22_Channel_29_Wb_1.CSV
52,8.0,12.0,test_30_cell12_C20FOrm_23-02-22_Channel_30_Wb_1.CSV,csv,test_30_cell12_C20FOrm_23-02-22_2023_02_22_095644,20.46,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_30_cell12_C20FOrm_23-02-22_2023_02_22_095644/test_30_cell12_C20FOrm_23-02-22_Channel_30_Wb_1.CSV
53,6.0,10.0,test_31_cell10_C20FOrm_23-02-22_Channel_31_Wb_1.CSV,csv,test_31_cell10_C20FOrm_23-02-22_2023_02_22_095656,21.99,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_31_cell10_C20FOrm_23-02-22_2023_02_22_095656/test_31_cell10_C20FOrm_23-02-22_Channel_31_Wb_1.CSV
54,27.0,36.0,test_31_cell36_C20Form_23-02-17_Channel_31_Wb_1.CSV,csv,test_31_cell36_C20Form_23-02-17_2023_02_17_124605,5.58,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_31_cell36_C20Form_23-02-17_2023_02_17_124605/test_31_cell36_C20Form_23-02-17_Channel_31_Wb_1.CSV
55,9.0,14.0,test_32_cell14_C20FOrm_23-02-22_Channel_32_Wb_1.CSV,csv,test_32_cell14_C20FOrm_23-02-22_2023_02_22_095711,18.67,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_32_cell14_C20FOrm_23-02-22_2023_02_22_095711/test_32_cell14_C20FOrm_23-02-22_Channel_32_Wb_1.CSV
56,13.0,19.0,test_33_cell19_C20FOrm_23-02-22_Channel_33_Wb_1.CSV,csv,test_33_cell19_C20FOrm_23-02-22_2023_02_22_095722,47.3,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_33_cell19_C20FOrm_23-02-22_2023_02_22_095722/test_33_cell19_C20FOrm_23-02-22_Channel_33_Wb_1.CSV
57,5.0,7.0,test_34_cell7_C20FOrm_23-02-22_Channel_34_Wb_1.CSV,csv,test_34_cell7_C20FOrm_23-02-22_2023_02_22_095735,33.55,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_34_cell7_C20FOrm_23-02-22_2023_02_22_095735/test_34_cell7_C20FOrm_23-02-22_Channel_34_Wb_1.CSV
58,33.0,43.0,test_36_cell43_C20Form_23-02-17_Channel_36_Wb_1.CSV,csv,test_36_cell43_C20Form_23-02-17_2023_02_17_123849,21.6,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_36_cell43_C20Form_23-02-17_2023_02_17_123849/test_36_cell43_C20Form_23-02-17_Channel_36_Wb_1.CSV
